Date,Open,High,Low,Close
2021-07-01,750.0,754.4000244140625,744.5,746.4500122070312
2021-07-02,747.5999755859375,752.8499755859375,744.0,750.6500244140625
2021-07-05,757.0999755859375,762.0,753.4000244140625,760.3499755859375
2021-07-06,757.0,767.0,755.2000122070312,758.3499755859375
2021-07-07,755.9000244140625,764.0,752.25,762.9000244140625
2021-07-08,760.0,767.1500244140625,751.7000122070312,754.4000244140625
2021-07-09,752.0,752.9000244140625,740.25,747.3499755859375
2021-07-12,752.5,757.7999877929688,748.2999877929688,753.5999755859375
2021-07-13,759.0,773.0,755.0,770.75
2021-07-14,770.9500122070312,773.4500122070312,764.0,770.0499877929688
2021-07-15,770.5,778.25,766.5,774.1500244140625
2021-07-16,776.0,776.0,766.5499877929688,771.1500244140625
2021-07-19,752.2999877929688,766.6500244140625,749.5999755859375,755.2000122070312
2021-07-20,755.0,755.2000122070312,744.2000122070312,745.75
2021-07-22,750.0999755859375,758.5,741.0,746.75
2021-07-23,749.0,764.0,740.0999755859375,755.4000244140625
2021-07-26,754.0,760.0,745.0,756.2999877929688
2021-07-27,750.5,756.0,729.0999755859375,731.7000122070312
2021-07-28,734.7999877929688,734.7999877929688,712.0999755859375,722.9000244140625
2021-07-29,720.0,728.5,716.0,717.25
2021-07-30,718.0499877929688,718.6500244140625,707.1500244140625,708.9000244140625
2021-08-02,715.0,725.5499877929688,712.0,721.1500244140625
2021-08-03,724.0,740.8499755859375,719.2999877929688,738.5999755859375
2021-08-04,740.5,757.0,738.6500244140625,753.7999877929688
2021-08-05,753.0,755.0,743.5,749.2999877929688
2021-08-06,747.0,757.6500244140625,738.7999877929688,740.8499755859375
2021-08-09,741.0,757.4000244140625,739.75,755.5
2021-08-10,755.5,764.0,755.0,761.5499877929688
2021-08-11,765.0,769.0,752.5,760.7999877929688
2021-08-12,759.0,763.4000244140625,753.3499755859375,757.3499755859375
2021-08-13,757.5,764.5,754.2000122070312,759.9000244140625
2021-08-16,756.0,765.7999877929688,756.0,762.0
2021-08-17,759.0,760.0,749.2999877929688,756.75
2021-08-18,763.7999877929688,763.7999877929688,750.5,754.4000244140625
2021-08-20,745.7999877929688,749.0,736.2000122070312,740.25
2021-08-23,749.5,749.5,734.4000244140625,736.0999755859375
2021-08-24,736.0,749.7000122070312,731.5,746.3499755859375
2021-08-25,748.2000122070312,751.4500122070312,735.2000122070312,739.0499877929688
2021-08-26,734.0999755859375,750.0,732.3499755859375,746.3499755859375
2021-08-27,746.5,759.5999755859375,741.0,752.4000244140625
2021-08-30,756.0,789.5,754.0,784.0499877929688
2021-08-31,784.9000244140625,789.0,778.4000244140625,786.5
2021-09-01,798.0999755859375,819.0,795.4000244140625,798.9000244140625
2021-09-02,795.5,806.0999755859375,792.4000244140625,802.7000122070312
2021-09-03,804.5,809.9000244140625,787.7000122070312,798.0
2021-09-06,800.8499755859375,805.9000244140625,795.3499755859375,800.7999877929688
2021-09-07,798.0,799.4000244140625,782.0499877929688,787.8499755859375
2021-09-08,790.0,797.3499755859375,783.0,794.7000122070312
2021-09-09,789.0,793.7000122070312,784.2000122070312,790.1500244140625
2021-09-13,786.0,790.4500122070312,783.5,788.3499755859375
2021-09-14,791.0,801.0,790.0,794.4000244140625
2021-09-15,796.0,797.4500122070312,787.0,791.4000244140625
2021-09-16,792.5,807.4500122070312,789.0999755859375,802.5999755859375
2021-09-17,808.8499755859375,820.7000122070312,797.25,807.3499755859375
2021-09-20,800.0,808.5499877929688,791.5,795.8499755859375
2021-09-21,795.25,799.0,772.2999877929688,795.3499755859375
2021-09-22,792.5,796.7999877929688,786.0,788.3499755859375
2021-09-23,794.3499755859375,814.5,792.5499877929688,812.1500244140625
2021-09-24,812.5499877929688,816.9500122070312,795.0999755859375,798.0499877929688
2021-09-27,802.9000244140625,808.7999877929688,792.7999877929688,796.9500122070312
2021-09-28,802.0,805.5999755859375,778.0,789.2000122070312
2021-09-29,783.0,789.5,778.5,782.1500244140625
2021-09-30,779.9000244140625,787.3499755859375,764.8499755859375,766.5499877929688
2021-10-01,763.4000244140625,771.7000122070312,754.0,768.1500244140625
2021-10-04,771.0999755859375,781.1500244140625,770.2999877929688,779.0
2021-10-05,774.4000244140625,784.0,771.2000122070312,782.5999755859375
2021-10-06,782.25,794.2000122070312,776.0,778.9500122070312
2021-10-07,790.0,790.1500244140625,774.0999755859375,777.0999755859375
2021-10-08,781.9000244140625,785.0,776.0,781.9500122070312
2021-10-11,782.0,793.0,779.0,787.1500244140625
2021-10-12,788.0,799.7000122070312,785.4500122070312,797.1500244140625
2021-10-13,799.9500122070312,804.5,793.2000122070312,794.5999755859375
2021-10-14,799.0,804.0,788.0,802.0499877929688
2021-10-18,820.0,820.0,802.0499877929688,813.2999877929688
2021-10-19,820.0,827.0,798.5,801.6500244140625
2021-10-20,800.5999755859375,813.7999877929688,792.0,804.7999877929688
2021-10-21,807.9500122070312,813.5,792.2999877929688,807.7999877929688
2021-10-22,812.0,825.0,806.7999877929688,816.7000122070312
2021-10-25,830.0999755859375,866.9000244140625,825.4500122070312,845.0999755859375
2021-10-26,848.4000244140625,851.6500244140625,823.5,841.9000244140625
2021-10-27,840.0,840.7999877929688,785.6500244140625,787.5
2021-10-28,787.5,789.0,754.6500244140625,758.3499755859375
2021-10-29,762.0,762.0,714.0,742.0
2021-11-01,755.0,760.0,740.0,752.3499755859375
2021-11-02,752.5,761.3499755859375,748.0499877929688,755.8499755859375
2021-11-03,759.4500122070312,762.6500244140625,748.5,750.5999755859375
2021-11-04,757.0,757.0499877929688,751.4000244140625,752.9500122070312
2021-11-08,761.0,761.0,741.5,751.0499877929688
2021-11-09,750.0,753.9500122070312,743.3499755859375,745.0499877929688
2021-11-10,742.7000122070312,753.3499755859375,732.0,749.3499755859375
2021-11-11,748.0,748.0,735.0999755859375,738.0499877929688
2021-11-12,742.7999877929688,742.7999877929688,733.5,736.0499877929688
2021-11-15,738.0,744.0,728.0,733.25
2021-11-16,733.25,733.2999877929688,721.2999877929688,726.1500244140625
2021-11-17,721.0,724.9000244140625,706.75,712.3499755859375
2021-11-18,715.0,716.0,701.9000244140625,706.3499755859375
2021-11-22,713.0,713.0,677.4000244140625,686.4000244140625
2021-11-23,681.0,692.6500244140625,677.3499755859375,685.6500244140625
2021-11-24,690.0,695.0999755859375,682.0499877929688,685.1500244140625
2021-11-25,686.0,687.0,676.5499877929688,679.9000244140625
